school_name,url_address,address,postal_code,telephone_no,telephone_no_2,fax_no,fax_no_2,email_address,mrt_desc,bus_desc,principal_name,first_vp_name,second_vp_name,third_vp_name,fourth_vp_name,fifth_vp_name,visionstatement_desc,missionstatement_desc,philosophy_culture_ethos,dgp_code,zone_code,cluster_code,type_code,nature_code,session_code,mainlevel_code,sap_ind,autonomous_ind,gifted_ind,ip_ind,mothertongue1_code,mothertongue2_code,mothertongue3_code,special_sdp_offered
NATIONAL JUNIOR COLLEGE,www.nationaljc.moe.edu.sg,37 HILLCREST ROAD,288913,64661144,na,64684535,na,NJC@MOE.EDU.SG,"BOTANIC GARDENS MRT, TAN KAH KEE MRT, SIXTH AVENUE MRT","151, 154, 156, 157, 170, 170X, 171, 174, 66, 67, 67A, 67W, 74, 852, 961, 961C",MR ANG POW CHEW,MR LIONG HUAI YU,MR LIM WEE JAMES,MR ZAINAL ABIDIN BIN MAHMOOD,na,na,NJCian's demonstrate Loyalty with Integrity; Scholarship with Creativity; Leadership with Sensitivity,College of the Nation: Home of Scholars and Leaders who Serve with Honour,"We seek to create a joyful and lively learning community for students and staff. Every NJCian will leave with a distinctive and memorable experience. They will learn to serve with honour, to be loyal to family and Singapore, to be leaders sensitive to the needs of others, and to be creative in their approach to solving problems. They would have imbibed the values of civility, altruism, resilience and enterprise.",BUKIT TIMAH,SOUTH,SOUTH 3,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,Chinese,Malay,Tamil,"For the Integrated Programme (Junior High), we offer Language Arts (English & Literature), Chemistry, Physics, Biology, Governance & Society, Mathematics (both E and A Maths), History, Geography, Higher Mother Tongue and Mother Tongue for the first 4 years, as well as Integrated Sciences, Thinking, and General Arts Programme (Art and Music) for the first 2 years. Advanced Language Arts, Advanced Humanities and Man & Ideas are also offered to capable students at JH3 & JH4. The College offers a wide range of special programmes in various domains. They are: SPIRE (Special Programme in Inquiry and Research), Research@NJC, Accelerated Mathematics, Advanced Sciences, Art Elective Programme (AEP), NJC Music Programme, Enhanced Boarding Programme, Cultural Mapping-On-The-Move, Leadership,  Values In Action and Guidance Programmes, Humanities Scholarship Programme, Sapphire Scholars Programme and International Programmes.  Students may also offer a Third Language outside of College. Junior High 1 students undergo a special CCA programme known as CAFE. CCAs offered for Junior High are basketball, canoeing, shooting, softball, squash, track and field, Chinese orchestra, Chinese dance, choir, guitar ensemble, Indian dance, Malay dance, string orchestra, symphonic band and Western dance. Students may also join any CCA under the Talent Management Scheme.  Note that H1, H2 and H3 subjects listed are only offered at Senior High (JC years)."
TEMASEK JUNIOR COLLEGE,http://temasekjc.moe.edu.sg/,22 BEDOK SOUTH ROAD,469278,64428066,na,64428762,na,TEMASEK_JC@MOE.EDU.SG,BEDOK MRT,"12, 16, 31, 38, 47, 196, 197, 229",MDM SIM AY NAR,MDM TAN KIA HUAN,MR FOO JUNG HIN SIMON,MR MARK CHAN,na,na,"An Institute of Distinction, A Dynamic Learning Culture,  A Caring TJC Family","Broaden Minds, Touch Hearts, Enrich Lives","Set in sprawling grounds recalling a gracious time past, at TJC our feet are firmly planted on the ground but our arms stretch to the sky. Every TJCian is nurtured to be a trailblazer with a heart for we believe that with sound values, we can steer steadfastly and stay true to our course. Mindful of tradition, roused by imagination and fuelled by ambition, TJCians strive to be active learners, caring and committed citizens and ethical leaders. Our motto we proudly serve is, For College, For Nation.",BEDOK,EAST,EAST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,MIXED LEVEL,No,No,No,Yes,Chinese,Malay,Tamil,"The Temasek Junior College 6-Year Integrated Programme provides a seamless progression of learning, empowering students beyond the basics by exposing them to both breadth and depth, leading up to the GCE A-Level Examination in Year 6. The design of the 6-year IP curriculum supports integrative and interdisciplinary learning, extending 'Beyond Basics' through the core curriculum, 'Beyond Boundaries' through extended learning and 'Beyond Self' through student development. It aims at 'Temasek Excellence', engendering in students greatness in intellect, character and leadership. At TJC IP, students have a plethora of programmes to whet their appetites on. There are signature IP programmes crafted by our school such as Temasek Academy Unbound (Stretch Programme for Science and Humanities students), Wonder.Observe.Weave! attachment, World without Borders, Temasek Stewardship Programme, and Temasek Student Leadership Congress. In addition, there are MOE Elective Programmes - Music Elective Programme (Year 1 to 6), Chinese Language Elective Programme (Year 3 to 6) and Humanities Programme (Year 5 and 6). All TJC IP students will be holistically developed, going forth to green the world. (Please refer to our website for information on Scholarships and Financial Assistance.)"
JURONG JUNIOR COLLEGE,http://www.jurongjc.moe.edu.sg,800 CORPORATION ROAD,649809,65624611,na,65624505,na,jjc@moe.edu.sg,"Lakeside, Boon Lay","99, 157, 185, 198, 507, NR5, 502, 625, 174, 174M",DR HANG KIM HOO,"MR WONG TIEN CHIEH, GLENN",MDM LIM WAI PING PATRICIA,MR CHUA KAH SHENG,MISS THIEN KIEN SAN SHARON,na,"College of Choice, Education of Value","Nurturing confident leaders with a global outlook, developing leaders of character with a heart to serve",na,JURONG WEST,WEST,WEST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,1. Experiential Learning Programmes (ELP) 2. Entrepreneurship 3. Interest Development Programme
ANDERSON JUNIOR COLLEGE,ajc.moe.edu.sg.,4500 ANG MO KIO AVENUE 6,569843,64596822,na,64598734,na,anderson_jc@moe.edu.sg,Yio Chu Kang,"13, 86, 162, 269, 825, 851, 852, 853",MISS TAY LAI LING,MR CHAN TECK HONG DAVID,MISS LOW BEE YEN,MR NGEOW SIONG CHYE,na,na,"Passionate Learners, Adventurous Thinkers, Caring Leaders",To mould men and women of purpose and character,na,ANG MO KIO,NORTH,NORTH 5,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Science research, service-learning, student leadership training, GP improvement & enrichment programmes"
VICTORIA JUNIOR COLLEGE,http://www.victoriajc.moe.edu.sg/,20 MARINE VISTA,449035,64485011,na,64438337,na,victoria_jc@moe.edu.sg,"Nearest MRT Stations:  Kembangan, Eunos","13, 16, 31, 36, 43, 48, 55, 135, 196, 196e, 197",MISS EK SOO BEN,MR SINGH GURUSHARAN S/O M SINGH,MR CHEONG TIEN BENG,MDM CHUA NGA WOON,na,na,LiVE like a Victorian - Legendary Spirit - Visionary Leadership - Extraordinary Service,"To ignite the imagination of all Victorians to create the future with conviction, courage and compassion",na,BEDOK,EAST,EAST 7,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,Yes,Chinese,Malay,Tamil,Arts Programme  Beyond Borders Programme Higher Education Guidance Programme Olympiad Training Programme Overseas Exchange Programme Scholarship and Mentoring Programme Victoria Science Research Talent Development Programme  Student Leadership Programme   Career Guidance and Work Attachment
YISHUN JUNIOR COLLEGE,http://www.yishunjc.moe.edu.sg/,3 YISHUN RING ROAD,768675,62579873,na,62574373,na,YISHUN_JC@MOE.EDU.SG,"Yishun, Khatib","800, 812, 167, 169, 171, 980",MRS EDELWEIS NEO,MR NG PING HWEE,MR LIM CHENG TJU,MDM TAN SWEE ENG JENNIFER,na,na,The Choice College of Leaders with Passion and Integrity,"To nurture righteous leaders, responsible global citizens, who pursue excellence in all endeavours",na,YISHUN,NORTH,NORTH 8,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"1. Digital art (includes 3D animation, digital painting, jewellery design, architectural design, fashion design & Ulead Studio).2. Music Programme including the following 3 components:a) Listening/Analysis/History; b)Composition Folio - electroacoustic musics and c) Performance."
TAMPINES JUNIOR COLLEGE,http://www.tpjc.moe.edu.sg/,2 TAMPINES AVENUE 9,529564,67841955,na,67810061,na,tpjc@moe.edu.sg,None,"3, 9, 12, 17, 19, 21, 28, 29, 37, 81, 293, 518",MISS YOONG NYOK KE PAMELA,MR ANG YEOU PENG,MDM TAN YIN LENG,MR TAN ENG POH,na,na,A Leader in Every Student.,"To inculcate excellence of achievement, a passion for learning and a zest for life.",na,TAMPINES,EAST,EAST 6,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Overseas VIA Project, School Twinning Programme (Shandong Experimental High School), School Twinning Programme (Pusat Tingkatan Enam Tutong, Brunei)"
SERANGOON JUNIOR COLLEGE,http://www.srjc.moe.edu.sg,1033 UPPER SERANGOON ROAD,534768,62850779,na,62825318,na,srjc@moe.edu.sg,Kovan MRT,"25,55,80,81,82,85,97,101,107,111,112.113,119,132,136,153",MR MANOGARAN S/O SUPPIAH,MRS KOH CAIYU,MISS WANG SIEW PING,MDM SHIRLEY YONG WAI YEE,na,na,Leaders and Learners driven by Values and Imagination,"Inspiring all students to have the passion to learn, the heart to serve and the courage to lead",na,HOUGANG,NORTH,NORTH 4,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,na,na,na,"Camp ASPIRE:Advanced Student Leadership Programme;SR Global Classroom Experience:Educational Fieldtrips and Community Projects;Get REAL!:Reach out to the Environment,Aged and Less Fortunate"
PIONEER JUNIOR COLLEGE,http://www.pioneerjc.moe.edu.sg,21 TECK WHYE WALK,688258,65646878,na,67651861,na,PJC@MOE.EDU.SG,Choa Chu Kang,"975, 190, 985",MDM KEK LEE YONG,MR LEONG CHI-YUNG KEN,MISS SEET YING LING BRITTA,MISS SIM YOKE HWEE,na,na,"ALWAYS SERVING, ALWAYS LEARNING",Nurturing a community of committed learners and compassionate leaders,na,CHOA CHU KANG,WEST,WEST 2,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,na,na,Sports and outdoor electives
MERIDIAN JUNIOR COLLEGE,http://www.mjc.moe.edu.sg,21 PASIR RIS STREET 71,518799,63493660,na,63493667,na,meridian_jc@moe.edu.sg,Pasir Ris MRT Station,"3, 53, 81, 89",MR LIM YAN HOCK,MDM TOH LAY HAR,MR HAN WEE FONG (HAN WEIFENG),MR LIM KWEE HONG KYLE,na,na,"A leading institution acclaimed for its academic distinction and richness of learning experiences, in a culture of initiative and empowerment.","To cultivate learned men and women of calibre, with the heart and will to lead and serve in a challenging world.",na,PASIR RIS,EAST,EAST 1,GOVERNMENT SCHOOL,CO-ED SCHOOL,FULL DAY,JUNIOR COLLEGE,No,No,No,No,Chinese,Malay,Tamil,"Chrystal Programme, Careers & Scholarships Programme, Talent Management Programme, Leadership Development Programme, Reach Programme, Enrichment Programme (Xcite!, Ignite!, iLive, Intr!gue. Sparks)"
